TIC,Outbst,Flare,tpeak,e_tpeak,E_tpeak,Amp,e_Amp,E_Amp,FWHMdt,e_FWHMdt,E_FWHMdt,Ebol,e_Ebol,E_Ebol,MCME,e_MCME,E_MCME
7151484,3,1,2458356.513972,0.000601,0.000727,0.00692,0.00120,0.00115,0.01068,0.00242,0.00300,4e+32,9.6e+31,1.2e+32,4.9e+19,4.7e+19,9e+20
7151484,4,1,2458358.585483,0.000034,0.000037,0.05769,0.00184,0.00193,0.00257,0.00017,0.00018,6.3e+32,3.1e+31,2.9e+31,8e+19,7.6e+19,1.2e+21
7151484,5,1,2458358.732741,0.000096,0.000105,0.03032,0.00208,0.00308,0.00242,0.00062,0.00058,3.3e+32,5.5e+31,6.5e+31,3.8e+19,3.6e+19,6.6e+20
7151484,5,2,2458358.738679,0.000331,0.000340,0.01370,0.00117,0.00135,0.01166,0.00188,0.00166,8.1e+32,1.6e+32,1.2e+32,7.7e+19,7.5e+19,1.7e+21
7151484,6,1,2458359.225156,0.000034,0.000023,0.65772,0.11833,0.11710,0.00036,0.00006,0.00009,1.1e+33,3.1e+31,3.7e+31,1.1e+20,1e+20,4.1e+21
7151484,6,2,2458359.227969,0.000075,0.000068,0.07529,0.00721,0.00627,0.00484,0.00034,0.00049,1.5e+33,5.4e+31,5.9e+31,5.1e+19,4.1e+19,1.3e+21
7151484,7,1,2458360.177442,0.000328,0.000376,0.01797,0.00120,0.00125,0.00540,0.00128,0.00126,4.9e+32,1.4e+32,8.6e+31,7.8e+19,7.2e+19,2.4e+21
7151484,7,2,2458360.186889,0.001204,0.000989,0.00553,0.00097,0.00096,0.01062,0.00407,0.00567,2.7e+32,1.1e+32,1.8e+32,2.1e+19,1.8e+19,3.7e+20
7151484,8,1,2458362.195865,0.000332,0.000335,0.00769,0.00089,0.00094,0.00597,0.00131,0.00160,2e+32,3.8e+31,6.5e+31,3.3e+19,3e+19,8.5e+20
7151484,8,2,2458362.252716,0.000365,0.000322,0.00633,0.00179,0.00253,0.00219,0.00105,0.00209,6.7e+31,2.7e+31,3.5e+31,1.5e+19,1.4e+19,1.6e+20
7151484,9,1,2458362.901230,0.000185,0.000195,0.01386,0.00193,0.00218,0.00219,0.00048,0.00064,1.5e+32,2.4e+31,2.2e+31,2.1e+19,1.8e+19,4.1e+20
7151484,10,1,2458363.160454,0.000366,0.000377,0.01056,0.00063,0.00065,0.01318,0.00142,0.00146,6.2e+32,4.8e+31,4.2e+31,6.4e+19,6.1e+19,8e+20
